STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
16299,Hunts brook,3,11.02027,2.738623,0,0,7870,1733,0,0.220203304,4.744671822,0.065330045,0,0,0,0,0,1,1,1,1,4,1,1,0.13
16306,Carr Brook,3,5,1.53,0,0,4593,285,0,0.062050947,4.705983763,0.032088387,0,0,0,0,0,1,1,1,1,4,1,1,0.138
16122,Early Brook,2,5.69,2.286043,0,0,6698,1827,0,0.27276799,4.427300367,0.050666928,0,0,0,0,0,1,1,1,1,4,1,1,0.265
18590,"Lyman Brook, Unnamed tributary to",2,2.63,0.92,0,0,2689,6509,0,2.420602454,4.347826087,0.016627712,0,0,0,0,0,2,1,1,1,5,1,1,0.271
14478,"Lyman Brook, Unnamed tributary to",2,2.63,0.92,0,0,2689,6509,0,2.420602454,4.347826087,0.016627712,0,0,0,0,0,2,1,1,1,5,1,1,0.271
16747,HOLLENBECK RIVER,3,14.35,5.122790531,0,0,15149,3716,0,0.245296719,4.144853066,0.130542316,0,0,0,0,0,1,1,1,1,4,1,1,0.217
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",3,14.39495934,4.900511441,0,0,14859,121434,0,8.172420755,4.018730774,0.121787209,0,0,0,0,0,3,1,1,1,6,2,1,0.187
17462,burnap brook,4,16.094381,7.068169,0,0,20341,30163,0,1.482867116,3.996912453,0.189466415,0,0,0,0,0,1,1,1,1,4,1,1,0.267
15304,Eagleville Brook,2,3.179677,1.585123,0,0,4553,75097,3,16.49396003,3.940856602,0.030633418,0,4.641,0,0,0,3,1,1,1,6,2,1,0.111
17112,"TENMILE RIVER, tributary to",2,2.250728,0.974009,0,0,2797,720,0,0.257418663,3.937555931,0.016952354,0,0,0,0,0,1,1,1,1,4,1,1,0.251
16381,Colebrook Brook,2,5.76,2.64,0,0,7677,7455,0,0.971082454,3.701644561,0.055140379,0,0,0,0,0,1,1,1,1,4,1,1,0.699
15794,West Branch Farmington River,6,454.079877,232.974873,22,427.86,679972,718192,3.5,1.056208197,3.337516021,12.05308736,661.9972502,5.415300275,54.92345904,0.449287399,0.048449626,1,3,2,2,8,2,1,0.344
15509,Gunn Brook,2,5.433126747,2.212129366,0,0,6557,3310,0,0.504804026,3.285499374,0.041893493,0,0,0,0,0,1,1,1,1,4,1,1,0.374
15519,Bee Brook,3,11.90770389,4.699805014,1,0,14185,17879,0,1.260415932,3.280535734,0.104508958,0,0,0,0,0.083979247,1,1,2,1,5,1,1,0.388
15014,Clark Creek,4,9.38,2.669166,0,0,8062,11064,0,1.372364178,3.177694393,0.051745963,0,0,0,0,0,1,1,1,1,4,1,1,0.283
16696,GOODHILL BROOK (Good Hill Brook),3,5.83,1.903574372,0,0,5808,4807,0,0.827651515,3.151965107,0.034187017,0,0,0,0,0,1,1,1,1,4,1,1,0.409
15529,Macedonia Brook,4,37.70174174,16.71874357,3,0,50247,10183,0,0.202658865,3.076328247,0.472295266,0,0,0,0,0.079571921,1,1,2,1,5,1,1,0.095
16843,MILL BROOK,3,10.59,4.140619842,2,0,12606,4967,0,0.394018721,3.046036162,0.086324963,0,0,0,0,0.188857413,1,1,3,1,6,2,1,0.35
16330,Naromiyocknowhusunkatankshunk Brook (FKA Morrisey),2,7.83,2.779886406,0,0,8377,2977,0,0.35537782,3.014849975,0.052941882,0,0,0,0,0,1,1,1,1,4,1,1,0.078
16258,West Branch Farmington River,5,230.309997,125.619223,5,0,365886,165078,0,0.451173316,2.811175373,5.22238481,0,0,0,0,0.02170987,1,1,2,1,5,1,1,0.282
15515,Beaver Brook,4,13.34,6.131976,0,0,18127,9645,0,0.532079219,2.772352664,0.132613726,0,0,0,0,0,1,1,1,1,4,1,1,0.471
16126,Hall Meadow Brook,3,23.70766304,10.22014198,1,0,30529,11875,0,0.388974418,2.693861293,0.243030993,0,0,0,0,0.042180454,1,1,2,1,5,1,1,0.23
16819,Lowden Brook,2,4.895279,2.41816,1,0,6956,5983,0,0.860120759,2.47780522,0.04049308,0,0,0,0,0.204278449,1,1,3,1,6,2,1,0.453
15532,Jericho Brook,1,1.53,0.672033827,0,0,1991,2506,0,1.258663988,2.46799338,0.008538061,0,0,0,0,0,1,1,1,1,4,1,1,0.291
16383,North Brook,3,3.28,1.517328,0,0,4432,2327,0,0.525045126,2.436727421,0.022802541,0,0,0,0,0,1,1,1,1,4,1,1,0.059
16121,Flat Brook,2,5.3,2.49,0,0,7338,5681,0,0.774189152,2.425508232,0.041509813,0,0,0,0,0,1,1,1,1,4,1,1,0.177
15520,Bonemill Brook,3,5.561781,2.486112,1,0,7164,1403,0,0.195840313,2.38410596,0.04107339,0,0,0,0,0.179798521,1,1,3,1,6,2,1,0.222
16913,"Chatfield Hollow Brook, tributary to",2,1.690614,0.441114,0,0,1267,286,0,0.225730071,2.297818704,0.004940193,0,0,0,0,0,1,1,1,1,4,1,1,0.192
16387,Hurricane Brook,2,3.81,1.328813,0,0,3888,575,0,0.147890947,2.257654012,0.018678187,0,0,0,0,0,1,1,1,1,4,1,1,0.242
14842,Indian Meadow Brook,3,9.88,4.36,0,0,12770,11172,0,0.87486296,2.241362762,0.078750536,0,0,0,0,0,1,1,1,1,4,1,1,0.139
16288,Branch Brook,3,15.657109,4.891189,0,0,14062,1754,0,0.124733324,2.238136097,0.09048069,0,0,0,0,0,1,1,1,1,4,1,1,0.232
16106,Branch Brook,3,15.657109,4.891189,0,0,14062,1754,0,0.124733324,2.238136097,0.09048069,0,0,0,0,0,1,1,1,1,4,1,1,0.232
15017,Fivemile Brook,2,5.294482407,1.798038483,0,0,5471,8164,0,1.492231768,2.235850724,0.026832787,0,0,0,0,0,1,1,1,1,4,1,1,0.035
18791,"Hubbard Brook, Unnamed tributary to",2,1.67,0.33,0,0,1030,412,0,0.4,2.210902527,0.003406336,0,0,0,0,0,1,1,1,1,4,1,1,0.134
16761,"Hubbard Brook, Unnamed tributary to",2,1.67,0.33,0,0,1030,412,0,0.4,2.210902527,0.003406336,0,0,0,0,0,1,1,1,1,4,1,1,0.134
16594,Cranberry Meadow Brook,3,7.735486,2.477425,0,0,7142,3796,0,0.531504,2.156605,0.038884,0,0,0,0,0,1,1,1,1,4,1,1,0.128
15063,Spruce Brook,3,8.602454449,2.901410137,0,0,8894,7739,0,0.870137171,2.119944887,0.046700704,0,0,0,0,0,1,1,1,1,4,1,1,0.059
15701,Bakersville Brook,3,14.06,5.358715,0,0,15736,20495,0,1.302427555,2.047453729,0.096652054,0,0,0,0,0,1,1,1,1,4,1,1,0.267
16431,Sprain Brook,3,23.62621739,10.59607298,1,0,31559,20479,0,0.648911562,1.954360949,0.216026773,0,0,0,0,0.042325861,1,1,2,1,5,1,1,0.118
15024,Wood Creek,2,5.39,2.72,0,0,8065,3490,0,0.432734036,1.870281008,0.040538679,0,0,0,0,0,1,1,1,1,4,1,1,0.24
16116,Kettle Brook,3,4.77,1.73727,0,0,5160,437,0,0.084689922,1.726847295,0.0225958,0,0,0,0,0,1,1,1,1,4,1,1,0.219
15315,Burnham Brook,1,2.52,1.19,0,0,3435,432,0,0.125764192,1.680672269,0.014079829,0,0,0,0,0,1,1,1,1,4,1,1,0.769
17148,"HALL MEADOW BROOK, tributary to",2,3.88,1.49486566,0,0,4453,471,0,0.10577139,1.644575793,0.018370071,0,0,0,0,0,1,1,1,1,4,1,1,0.167
16922,NORTH BROOK,2,2.21,1.217780226,0,0,3573,1242,0,0.347607053,1.642332465,0.014312548,0,0,0,0,0,1,1,1,1,4,1,1,0.113
14840,Mountain Brook,2,2.8,0.811033,0,0,2519,353,0,0.140134974,1.568313183,0.008536959,0,0,0,0,0,1,1,1,1,4,1,1,0.167
16316,Jim Brook,2,2.95,1.28,1,0,3762,2550,0,0.677830941,1.5625,0.01482828,0,0,0,0,0.338983051,1,1,3,1,6,2,1,0.231
17949,lievre Brook - Dup of 17948?,2,3.19,1.307166,0,0,3824,3614,0,0.945083682,1.539906359,0.015100038,0,0,0,0,0,1,1,1,1,4,1,1,0.044
17948,lievre Brook,2,3.19,1.307166,0,0,3824,3614,0,0.945083682,1.539906359,0.015100038,0,0,0,0,0,1,1,1,1,4,1,1,0.044
16525,BONNEY BROOK,2,3.819921268,1.327626563,0,0,4010,113,0,0.028179551,1.506447713,0.015218153,0,0,0,0,0,1,1,1,1,4,1,1,0.306
15035,Spruce Brook,4,15.41245445,5.309351764,0,0,16160,9537,0,0.590160891,1.416299566,0.079379749,0,0,0,0,0,1,1,1,1,4,1,1,0.024
16078,South Mountain Brook,2,4.54,2.16,1,0,6284,116998,0,18.61839593,1.388888889,0.026376789,0,0,0,0,0.220264317,3,1,3,1,8,2,1,0.447
16697,GOODWIN BROOK,2,3.179117,0.888975,0,0,2558,270,0,0.105551212,1.369067073,0.008911769,0,0,0,0,0,1,1,1,1,4,1,1,0.096
15244,Cobble Brook,3,5.68,2.199466676,0,0.25,6551,2724,0,0.415814379,1.363967017,0.026718265,0.386807163,0,14.4772562,0,0,1,3,1,1,6,2,1,0.041
14880,Sages Ravine Brook,2,7.14,3.5,0,0,10373,437,0,0.042128603,1.343934675,0.046614077,0,0,0,0,0,1,1,1,1,4,1,1,0.513
15505,Sages Ravine Brook,2,7.14,3.5,0,0,10373,437,0,0.042128603,1.343934675,0.046614077,0,0,0,0,0,1,1,1,1,4,1,1,0.513
17002,RESERVOIR BROOK,3,4.426599,1.29,0,0,3891,121,0,0.031097404,1.340773515,0.013858489,0,0,0,0,0,1,1,1,1,4,1,1,0.205
